Name,Idx,Lvl,Speed,AC,Attacks,Dam,Body,Str,Int,Wis,Dex,Con,Chr,Life,Disarm,Device,Save,Stealth,Search,Perception,Melee,Bows
"透明蘑菇丛",184,10,5,0,0,0,标准,0,0,0,0,0,0,0,="0+0",="0+0",="0+0",0,0,0,="0+0",="0+0"
"箭袋插槽",185,10,10,0,0,0,标准,0,0,0,0,0,0,0,="0+0",="0+0",="0+0",0,0,0,="0+0",="0+0"
"山丘兽人葛力斯那克",186,10,0,0,0,0,标准,5,-3,-2,3,2,-1,112,="23+12",="16+7",="30+10",0,15,10,="80+30",="58+30"
"巨型食人鱼",187,10,10,30,0,0,鱼,5,-3,-2,3,2,-1,112,="23+12",="16+7",="30+10",0,15,10,="80+30",="58+30"
"枭熊",188,10,0,20,0,0,熊,4,-2,-2,2,2,1,115,="25+12",="18+7",="31+10",1,14,12,="70+30",="55+30"
"蓝色惧妖",189,10,0,0,0,0,标准,4,-3,-3,3,4,0,113,="22+12",="19+7",="30+10",2,13,12,="75+30",="52+30"
"长毛霉菌",190,10,0,15,0,0,霉菌,-2,-1,-1,-1,-2,-3,94,="15+5",="18+6",="28+9",1,12,12,="46+12",="19+10"
"灰熊",191,12,5,40,0,0,熊,5,-2,-2,-1,3,2,110,="25+12",="25+9",="35+12",0,14,12,="70+30",="16+6"
"解除附魔霉菌",192,10,0,20,0,0,霉菌,1,1,-1,3,0,1,100,="45+15",="37+12",="36+10",5,32,34,="60+21",="60+14"
"伪龙",193,10,0,30,0,0,龙,1,-1,-1,1,0,2,103,="20+7",="25+10",="32+10",2,18,26,="52+14",="63+25"
"天狗",194,10,10,0,0,0,标准,1,0,-2,4,2,0,99,="42+15",="38+12",="35+10",6,31,34,="65+21",="57+14"
"爬行金币",195,10,-10,0,0,0,标准,0,0,0,0,0,0,0,="0+0",="0+0",="0+0",0,0,0,="0+0",="0+0"
"狼",196,10,10,30,0,0,小狗,4,-2,-2,2,2,1,92,="25+12",="18+7",="31+10",1,14,12,="70+30",="55+30"
"巨型果蝇",197,10,10,14,0,0,皮包骨,-4,-3,-3,-3,-4,-8,39,="12+5",="16+6",="26+9",3,12,9,="36+12",="14+10"
"黑豹",198,10,10,30,0,0,猎犬,1,1,-1,3,0,1,100,="45+15",="30+8",="36+10",5,32,34,="60+21",="60+14"
"税务官",199,10,0,0,0,0,标准,1,1,-1,3,0,1,90,="45+15",="37+12",="36+10",5,32,34,="60+21",="60+14"
"老虎霍布斯",200,10,10,30,0,0,猎犬,1,0,-2,4,2,3,102,="43+15",="33+8",="41+10",10,30,30,="60+21",="57+14"
"菲奥娜的暗影生物",201,10,0,0,0,0,标准,3,1,0,4,0,4,111,="30+12",="25+7",="43+10",4,22,14,="65+30",="61+30"
"亡灵聚合体",202,10,0,12,0,0,果冻3,-1,-3,3,-1,0,2,100,="25+7",="28+11",="40+12",2,16,18,="48+13",="35+11"
"混沌变形者",203,11,0,14,0,0,标准,4,-1,-2,-1,3,2,111,="15+7",="24+11",="33+10",0,13,17,="77+20",="43+17"
"多彩龙幼龙",204,11,0,30,0,0,龙,1,-1,-1,1,0,2,103,="20+7",="25+10",="32+10",2,18,26,="52+14",="63+25"
"锋锐兔",205,11,10,40,0,0,皮包骨,-1,-1,-3,1,-2,-4,85,="42+15",="35+12",="34+10",7,32,31,="50+21",="55+14"
"柳树老头",206,22,0,20,0,0,树,6,-2,0,-1,4,1,120,="20+12",="19+7",="36+10",0,14,11,="85+30",="52+30"
"马头鱼尾怪",207,11,0,14,0,0,马,4,-2,-2,2,2,1,115,="25+12",="18+7",="31+10",1,14,12,="70+30",="55+30"
"僵尸兽人",208,11,0,0,0,0,标准,6,-8,-8,3,6,-2,124,="20+12",="13+7",="36+10",0,13,7,="85+30",="55+30"
"鹰马",209,15,5,60,0,0,猎犬,4,-2,-2,2,2,1,115,="25+12",="18+7",="31+10",1,14,12,="70+30",="55+30"
"黑曼巴蛇",210,12,10,32,0,0,蛇,1,1,-1,3,0,1,60,="45+15",="37+12",="36+10",5,32,34,="60+21",="60+14"
"白狼",211,12,10,30,0,0,小狗,4,-2,-2,2,2,1,92,="25+12",="18+7",="31+10",1,14,12,="70+30",="55+30"
"葡萄果冻",212,12,0,1,0,0,果冻5,-1,-4,2,0,2,1,99,="22+7",="29+11",="39+12",3,15,18,="53+13",="32+11"
"虚空蠕虫团",213,12,-10,15,0,0,蠕虫,2,-4,-4,0,0,-4,97,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"深渊蠕虫团",214,12,-10,15,0,0,蠕虫,2,-4,-4,0,0,-4,97,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"山丘兽人首领高尔芬博",215,12,0,0,0,0,标准,5,-3,-2,3,2,-1,112,="23+12",="16+7",="30+10",0,15,10,="80+30",="58+30"
"剑客",216,12,0,0,0,0,标准,7,-4,-3,3,4,3,106,="23+12",="11+7",="33+10",0,15,9,="82+30",="61+30"
"斯卡文萨满",217,9,0,15,0,0,皮包骨,-3,-5,1,-3,-2,-3,85,="22+7",="26+11",="38+12",4,16,15,="38+13",="30+11"
"注视者",218,12,0,18,0,0,眼睛,-5,5,-1,3,-1,-3,90,="40+7",="46+15",="45+11",6,22,33,="26+6",="28+7"
"骑士弓箭手",219,12,0,0,0,0,标准,2,-1,-1,2,1,0,110,="38+12",="24+10",="35+10",4,24,26,="56+18",="82+36"
"异西鳐",220,12,0,30,0,0,鱼,2,-4,-4,0,0,-4,97,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"地雷狗",221,12,10,0,0,0,小狗,4,-2,-2,2,2,1,92,="25+12",="18+7",="31+10",1,14,12,="70+30",="55+30"
"地狱猫",222,12,10,30,0,0,猎犬,1,0,-2,4,2,3,102,="43+15",="33+8",="41+10",10,30,30,="60+21",="57+14"
"月兽",223,12,10,30,0,0,皮包骨,-4,3,0,1,-2,-2,95,="30+7",="40+15",="38+11",3,16,30,="34+6",="20+7"
"大师伊克",224,12,0,0,0,0,标准,-3,-2,1,0,-2,-2,92,="27+7",="31+11",="46+12",5,21,23,="43+13",="32+11"
"牧师",225,12,0,0,0,0,标准,0,-1,5,1,3,2,100,="29+7",="31+11",="43+12",4,19,21,="63+13",="42+11"
"黑暗精灵祭司",226,12,5,0,0,0,标准,-2,0,5,1,-2,5,97,="30+7",="35+11",="52+12",5,24,20,="43+13",="41+11"
"气元素精灵",227,12,20,40,0,0,标准,3,-2,-2,-2,2,1,106,="20+7",="20+8",="40+15",-1,12,12,="50+15",="30+15"
"人类骷髅",228,12,0,0,0,0,标准,4,-2,-2,2,2,1,115,="25+12",="18+7",="31+10",1,14,12,="70+30",="55+30"
"僵尸人类",229,12,0,0,0,0,标准,6,-8,-8,3,6,-2,124,="20+12",="13+7",="36+10",0,13,7,="85+30",="55+30"
"老虎",230,12,10,40,0,0,猎犬,1,1,-1,3,0,1,100,="45+15",="30+8",="36+10",5,32,34,="60+21",="60+14"
"呻吟的幽灵",231,12,10,0,0,0,标准,-4,5,1,5,-2,-2,90,="55+15",="47+12",="48+10",10,37,38,="45+21",="55+14"
"狂暴的班德斯纳奇",232,12,10,30,0,0,蜈蚣4,4,-2,-2,2,2,1,115,="25+12",="18+7",="31+10",1,14,12,="70+30",="55+30"
"斑点果冻",233,12,10,18,0,0,果冻5,4,-3,-3,3,4,0,113,="22+12",="19+7",="30+10",2,13,12,="75+30",="52+30"
"蛛化精灵",234,13,0,30,0,0,蛛化精灵,0,4,1,5,-2,4,97,="50+15",="44+12",="48+10",8,40,36,="55+21",="66+14"
"恶魔蝙蝠",235,13,3,80,0,0,蝙蝠,2,-1,-1,2,1,0,80,="25+12",="24+10",="28+10",5,32,28,="35+12",="72+28"
"杀手褐甲虫",236,13,0,40,0,0,甲虫,4,-2,-2,2,2,1,115,="25+12",="18+7",="31+10",1,14,12,="70+30",="55+30"
"伊克之王博尔多",237,13,10,0,0,0,标准,-6,4,-2,2,-4,-6,87,="32+7",="43+15",="44+11",6,21,35,="29+6",="17+7"
"食人魔",238,13,0,0,0,0,标准,7,-2,-3,1,5,1,121,="22+12",="15+7",="28+10",-1,13,7,="90+30",="50+30"
"爬行秘银币",239,13,0,0,0,0,标准,0,0,0,0,0,0,0,="0+0",="0+0",="0+0",0,0,0,="0+0",="0+0"
"幻术师",240,15,0,0,0,0,标准,-3,5,2,3,1,-2,95,="34+7",="43+15",="41+11",5,19,33,="49+6",="27+7"
"德鲁伊",241,13,0,0,0,0,标准,-1,-3,3,-1,0,2,100,="25+7",="28+11",="40+12",2,16,18,="48+13",="35+11"
"粉红惧妖",242,16,0,0,0,0,标准,2,0,-2,1,3,0,107,="17+7",="26+11",="33+10",2,13,22,="70+20",="37+17"
"暗幕魔兽",243,13,5,0,0,0,标准,0,0,0,0,0,0,0,="0+0",="0+0",="0+0",0,0,0,="0+0",="0+0"
"黑兽人",244,13,0,0,0,0,标准,5,-3,-2,3,2,-1,112,="23+12",="16+7",="30+10",0,15,10,="80+30",="58+30"
"赭冻怪",245,13,10,18,0,0,果冻5,4,-3,-3,3,4,0,113,="22+12",="19+7",="30+10",2,13,12,="75+30",="52+30"
"软件漏洞",246,14,10,25,0,0,皮包骨,-4,-3,-3,-3,-4,-8,39,="12+5",="16+6",="26+9",3,12,9,="36+12",="14+10"
"地底潜伏者",247,14,0,0,0,0,标准,0,0,0,0,0,0,0,="0+0",="0+0",="0+0",0,0,0,="0+0",="0+0"
"水妖精",248,14,0,0,0,0,标准,3,1,0,4,0,4,111,="30+12",="25+7",="43+10",4,22,14,="65+30",="61+30"
"弗拉斯塔",249,14,10,0,0,0,皮包骨,4,-2,-2,2,2,1,115,="25+12",="18+7",="31+10",1,14,12,="70+30",="55+30"
"巨型白蜻蜓",250,14,0,20,0,0,皮包骨,2,-4,-4,0,0,-4,48,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"史纳加爆破兵",251,14,1,0,0,0,标准,2,-4,-4,0,0,-4,97,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"蓝色恶心物",252,14,-10,0,0,0,恶心物,0,0,-3,-1,-2,-4,44,="27+7",="34+10",="32+10",4,18,23,="46+18",="45+15"
"惧噬体",253,14,0,20,0,0,果冻5,-1,-4,2,0,2,1,99,="22+7",="29+11",="39+12",3,15,18,="53+13",="32+11"
"弗洛拉的爱尔兰猎狼犬",254,14,10,20,0,0,小狗,4,-2,-2,2,2,1,92,="25+12",="18+7",="31+10",1,14,12,="70+30",="55+30"
"丘陵巨人",255,17,0,0,0,0,标准,8,-4,-4,0,5,1,124,="19+12",="13+7",="28+10",-1,13,7,="95+30",="55+30"
"肉身魔像",256,14,0,30,0,0,标准,8,-7,-7,0,6,1,120,="20+12",="13+7",="37+10",0,13,10,="90+30",="55+30"
"座狼",257,14,10,20,0,0,猎犬,4,-2,-2,2,2,1,115,="25+12",="18+7",="31+10",1,14,12,="70+30",="55+30"
"快乐的矮妖",258,14,10,0,0,0,标准,1,2,-2,6,3,3,59,="49+15",="33+10",="48+10",19,51,46,="80+25",="50+11"
"巨型跳蚤",259,14,10,7,0,0,皮包骨,-4,-3,-3,-3,-4,-8,39,="12+5",="16+6",="26+9",3,12,9,="36+12",="14+10"
"西力斯昂哥的乌夫萨克",260,14,0,0,0,0,标准,5,-3,-2,3,2,-1,112,="23+12",="16+7",="30+10",0,15,10,="80+30",="58+30"
"黏土魔像",261,15,0,30,0,0,标准,8,-7,-7,0,6,1,120,="20+12",="13+7",="37+10",0,13,10,="90+30",="55+30"
"黑食人魔",262,15,0,0,0,0,标准,7,-2,-3,1,5,1,121,="22+12",="15+7",="28+10",-1,13,7,="90+30",="50+30"
"门槛潜伏者",263,15,0,30,0,0,标准,1,-1,-1,1,0,2,103,="20+7",="25+10",="32+10",2,18,26,="52+14",="63+25"
"半兽人",264,15,0,0,0,0,标准,5,-3,-2,3,2,-1,112,="23+12",="16+7",="30+10",0,15,10,="80+30",="58+30"
"黑暗娜迦",265,15,0,0,0,0,娜迦,-6,4,-2,2,-4,-6,87,="32+7",="43+15",="44+11",6,21,35,="29+6",="17+7"
"巨型章鱼",266,15,-5,60,0,0,章鱼,4,-2,-2,2,2,1,115,="25+12",="18+7",="31+10",1,14,12,="70+30",="55+30"
"魔法蘑菇丛",267,15,20,0,0,0,标准,0,0,0,0,0,0,0,="0+0",="0+0",="0+0",0,0,0,="0+0",="0+0"
"纳垢携疫者",268,15,0,0,0,0,标准,1,-9,-3,0,4,-1,108,="20+7",="23+11",="45+12",1,15,13,="63+13",="35+11"
"守卫娜迦",269,15,0,0,0,0,娜迦,4,-2,-2,2,2,1,115,="25+12",="18+7",="31+10",1,14,12,="70+30",="55+30"
"兽化鼠人",270,15,0,10,0,0,皮包骨,-3,-2,1,0,-2,-2,92,="27+7",="31+11",="46+12",5,21,23,="43+13",="32+11"
"光明猎犬",271,15,0,30,0,0,猎犬,1,0,-2,4,2,3,102,="43+15",="33+8",="41+10",10,30,30,="60+21",="57+14"
"暗影猎犬",272,15,0,30,0,0,猎犬,1,0,-2,4,2,3,102,="43+15",="33+8",="41+10",10,30,30,="60+21",="57+14"
"飞行头骨",273,15,0,0,0,0,骷髅,4,-1,-4,2,3,2,115,="20+12",="18+7",="34+10",0,13,10,="80+30",="55+30"
"米-戈",274,15,10,30,0,0,龙,-1,-1,-3,1,-2,-4,85,="42+15",="35+12",="34+10",7,32,31,="50+21",="55+14"
"巨型狼蛛",275,15,10,32,0,0,蜘蛛,-1,2,0,6,2,2,92,="60+15",="45+12",="46+10",10,44,39,="50+21",="70+14"
"巨型透明蜈蚣",276,15,0,30,0,0,蜈蚣4,4,-2,-2,2,2,1,115,="25+12",="18+7",="31+10",1,14,12,="70+30",="55+30"
"幽暗密林蜘蛛",277,15,10,25,0,0,蜘蛛,-1,2,0,6,2,2,92,="60+15",="45+12",="46+10",10,44,39,="50+21",="70+14"
"霜巨人",278,20,0,0,0,0,标准,9,-4,-4,-3,6,2,118,="19+12",="20+9",="32+12",-2,13,7,="95+30",="16+6"
"狮鹫",279,15,5,50,0,0,猎犬,5,-2,-2,-1,3,2,110,="25+12",="25+9",="35+12",0,14,12,="70+30",="16+6"
"炼金人造人",280,15,0,0,0,0,标准,4,-3,-3,3,4,0,113,="22+12",="19+7",="30+10",2,13,12,="75+30",="52+30"
"侏儒法师",281,15,0,0,0,0,标准,-5,5,-1,3,-1,-3,90,="40+7",="46+15",="45+11",6,22,33,="26+6",="28+7"
"透明猎犬",282,15,0,30,0,0,猎犬,1,0,-2,4,2,3,102,="43+15",="33+8",="41+10",10,30,30,="60+21",="57+14"
"恐爪怪",283,16,0,50,0,0,盲眼土怪,5,-3,-2,3,2,-1,112,="23+12",="16+7",="30+10",0,15,10,="80+30",="58+30"
"铁锈怪",284,16,0,55,0,0,马,4,-2,-2,2,2,1,115,="25+12",="18+7",="31+10",1,14,12,="70+30",="55+30"
"兽人队长",285,16,0,0,0,0,标准,5,-3,-2,3,2,-1,112,="23+12",="16+7",="30+10",0,15,10,="80+30",="58+30"
"凝胶方块",286,16,0,18,0,0,果冻5,7,-4,-3,3,4,3,118,="23+12",="11+7",="33+10",0,15,9,="82+30",="61+30"
"巨型绿蜻蜓",287,16,0,20,0,0,皮包骨,2,-4,-4,0,0,-4,48,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"火巨人",288,21,0,0,0,0,标准,9,-4,-4,-3,6,2,118,="19+12",="20+9",="32+12",-2,13,7,="95+30",="16+6"
"巨鸣蜂",289,16,10,14,0,0,皮包骨,-4,-3,-3,-3,-4,-8,39,="12+5",="16+6",="26+9",3,12,9,="36+12",="14+10"
"蜥蜴人",290,16,0,0,0,0,标准,0,-2,-2,0,0,-2,98,="25+5",="16+6",="31+9",1,11,12,="51+12",="22+10"
"乌尔方之子乌尔法斯特",291,16,0,0,0,0,标准,5,0,0,4,5,1,115,="29+12",="21+7",="34+10",3,17,15,="85+30",="62+30"
"锤头鲨",292,16,5,59,0,0,鱼,5,-3,-2,3,2,-1,112,="23+12",="16+7",="30+10",0,15,10,="80+30",="58+30"
"狂战士",293,16,3,0,0,0,标准,9,-18,-18,6,7,4,150,="-96+0",="-997+0",="-197+0",-98,-97,-87,="135+50",="-1993+0"
"夸塞魔",294,16,0,0,0,0,标准,1,0,-2,4,2,0,99,="42+15",="38+12",="35+10",6,31,34,="65+21",="57+14"
"斯芬克斯",295,17,0,80,0,0,猎犬,1,1,-1,3,0,1,100,="45+15",="37+12",="36+10",5,32,34,="60+21",="60+14"
"小恶魔",296,17,0,0,0,0,标准,1,0,-2,4,2,0,99,="42+15",="38+12",="35+10",6,31,34,="65+21",="57+14"
"森林巨魔",297,17,0,50,0,0,标准,8,-6,-3,-1,5,-1,123,="20+12",="12+7",="26+10",-1,13,7,="90+30",="49+30"
"冰冻球",298,17,10,30,0,0,球体,2,-4,-4,0,0,-4,97,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"跳跃火球",299,17,10,30,0,0,球体,2,-4,-4,0,0,-4,97,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"球状闪电",300,17,10,30,0,0,球体,2,-4,-4,0,0,-4,97,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"2头海德拉",301,17,0,60,0,0,九头蛇1,5,-2,-2,-1,3,2,110,="25+12",="25+9",="35+12",0,14,12,="70+30",="16+6"
"沼泽怪物",302,17,0,60,0,0,标准,4,-2,-2,2,2,1,115,="25+12",="18+7",="31+10",1,14,12,="70+30",="55+30"
"水元素精灵",303,17,10,28,0,0,标准,3,-2,-2,-2,2,1,106,="20+7",="20+8",="40+15",-1,12,12,="50+15",="30+15"
"巨型粉红蝎",304,17,0,44,0,0,蝎子,2,-1,-1,5,4,2,105,="40+12",="26+7",="41+10",6,26,17,="60+30",="65+30"
"土元素精灵",305,17,10,40,0,0,标准,3,-2,-2,-2,2,1,106,="20+7",="20+8",="40+15",-1,12,12,="50+15",="30+15"
"火元素精灵",306,18,10,30,0,0,标准,3,-2,-2,-2,2,1,106,="20+7",="20+8",="40+15",-1,12,12,="50+15",="30+15"
"火焰猎犬",307,18,0,30,0,0,猎犬,1,0,-2,4,2,3,102,="43+15",="33+8",="41+10",10,30,30,="60+21",="57+14"
"寒冰猎犬",308,18,0,30,0,0,猎犬,1,0,-2,4,2,3,102,="43+15",="33+8",="41+10",10,30,30,="60+21",="57+14"
"能量猎犬",309,18,0,30,0,0,猎犬,1,0,-2,4,2,3,102,="43+15",="33+8",="41+10",10,30,30,="60+21",="57+14"
"药水拟似怪",310,18,0,0,0,0,标准,0,0,0,0,0,0,0,="0+0",="0+0",="0+0",0,0,0,="0+0",="0+0"
"门拟似怪",311,18,0,0,0,0,标准,0,0,0,0,0,0,0,="0+0",="0+0",="0+0",0,0,0,="0+0",="0+0"
"闪现犬",312,18,10,20,0,0,猎犬,1,1,-1,3,0,1,100,="45+15",="30+8",="36+10",5,32,34,="60+21",="60+14"
"乌鲁克",313,18,0,0,0,0,标准,5,-3,-2,3,2,-1,112,="23+12",="16+7",="30+10",0,15,10,="80+30",="58+30"
"兽人队长沙格拉特",314,18,0,0,0,0,标准,5,-3,-2,3,2,-1,112,="23+12",="16+7",="30+10",0,15,10,="80+30",="58+30"
"兽人队长格巴格",315,18,0,0,0,0,标准,6,-3,-2,0,3,0,107,="23+12",="23+9",="34+12",-1,15,10,="80+30",="19+6"
"蔓生怪",316,18,0,0,0,0,标准,0,0,0,0,0,0,0,="0+0",="0+0",="0+0",0,0,0,="0+0",="0+0"
"白鲨",317,18,10,50,0,0,鱼,7,-4,-3,3,4,3,118,="23+12",="11+7",="33+10",0,15,9,="82+30",="61+30"
"混沌野兽人",318,18,0,0,0,0,标准,4,-1,-2,-1,3,2,111,="15+7",="24+11",="33+10",0,13,17,="77+20",="43+17"
"色孽欲魔",319,18,10,0,0,0,武僧,2,0,-2,1,3,0,107,="17+7",="26+11",="33+10",2,13,22,="70+20",="37+17"
"巨型青铜蜻蜓",320,18,10,20,0,0,皮包骨,2,-4,-4,0,0,-4,58,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"石巨人",321,18,0,0,0,0,标准,8,-4,-4,0,5,1,124,="19+12",="13+7",="28+10",-1,13,7,="95+30",="55+30"
"巨型黑蜻蜓",322,18,10,20,0,0,皮包骨,2,-4,-4,0,0,-4,58,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"石魔像",323,19,0,75,0,0,标准,8,-7,-7,0,6,1,120,="20+12",="13+7",="37+10",0,13,10,="90+30",="55+30"
"红霉菌",324,19,0,16,0,0,霉菌,5,-3,-2,3,2,-1,112,="23+12",="16+7",="30+10",0,15,10,="80+30",="58+30"
"巨型金蜻蜓",325,18,10,20,0,0,皮包骨,2,-4,-4,0,0,-4,67,="22+12",="16+7",="29+10",3,14,9,="60+30",="50+30"
"震慑墙",326,18,0,0,0,0,标准,0,0,0,0,0,0,0,="0+0",="0+0",="0+0",0,0,0,="0+0",="0+0"
"妖鬼",327,19,0,0,0,0,标准,6,-8,-8,3,6,-2,124,="20+12",="13+7",="36+10",0,13,7,="85+30",="55+30"
"异西鳐祭司",328,19,0,40,0,0,鱼,0,-4,3,0,0,0,98,="23+7",="26+11",="39+12",1,17,16,="58+13",="38+11"
"胡恩",329,19,0,45,0,0,树,3,-1,1,-2,2,2,108,="15+7",="26+10",="37+10",1,18,25,="67+14",="60+25"
"阿索格之子波格",330,24,5,0,0,0,标准,6,-3,-2,0,3,0,107,="23+12",="23+9",="34+12",-1,15,10,="80+30",="19+6"
"相位蜘蛛",331,20,10,25,0,0,蜘蛛,-1,2,0,6,2,2,92,="60+15",="45+12",="46+10",10,44,39,="50+21",="70+14"
"蜥蜴王",332,20,10,0,0,0,标准,6,-3,-3,3,4,2,120,="35+12",="16+7",="34+10",1,13,12,="75+30",="58+30"
"地雷",333,20,0,0,0,0,标准,0,0,0,0,0,0,0,="0+0",="0+0",="0+0",0,0,0,="0+0",="0+0"
"双足飞龙",334,20,10,65,0,0,龙,1,-1,-1,1,0,2,103,="20+7",="25+10",="32+10",2,18,26,="52+14",="63+25"
"巨鹰",335,35,25,65,0,0,巨鸟,5,-1,-1,3,3,2,92,="27+12",="20+7",="32+10",0,14,9,="80+30",="58+30"
"活石墙",336,20,0,0,0,0,标准,0,0,0,0,0,0,0,="0+0",="0+0",="0+0",0,0,0,="0+0",="0+0"
"大地猎犬",337,20,0,30,0,0,猎犬,1,0,-2,4,2,3,102,="43+15",="33+8",="41+10",10,30,30,="60+21",="57+14"
"气之猎犬",338,20,0,30,0,0,猎犬,1,0,-2,4,2,3,102,="43+15",="33+8",="41+10",10,30,30,="60+21",="57+14"
"剑齿虎",339,20,10,50,0,0,猎犬,2,3,1,5,3,1,100,="49+15",="33+8",="39+10",7,35,37,="75+21",="67+14"
"水之猎犬",340,20,0,30,0,0,猎犬,1,0,-2,4,2,3,102,="43+15",="33+8",="41+10",10,30,30,="60+21",="57+14"
"奇美拉",341,20,0,15,0,0,龙,4,-2,-2,2,2,1,115,="25+12",="18+7",="31+10",1,14,12,="70+30",="55+30"
"隐伏怪",342,20,0,0,0,0,克尔苏格,-5,0,-2,2,0,11,65,="30+7",="48+18",="75+13",2,12,32,="0+0",="0+0"
"大脚怪",343,20,10,40,0,0,标准,5,-2,-2,-1,3,2,110,="25+12",="25+9",="35+12",0,14,12,="70+30",="16+6"
"维尔怪",344,20,0,30,0,0,威尔,4,-2,-2,2,2,1,115,="25+12",="18+7",="31+10",1,14,12,="70+30",="55+30"
"鲸鱼",345,20,0,50,0,0,鱼,7,-4,-3,3,4,3,118,="23+12",="11+7",="33+10",0,15,9,="82+30",="61+30"
"电鳗",346,20,0,40,0,0,蛇,1,1,-1,3,0,1,60,="45+15",="37+12",="36+10",5,32,34,="60+21",="60+14"
"狼人",347,20,0,30,0,0,猎犬,4,-2,-2,2,2,1,115,="25+12",="18+7",="31+10",1,14,12,="70+30",="55+30"
"黑暗精灵领主",348,20,10,0,0,0,标准,1,4,1,2,-1,4,105,="25+7",="32+11",="46+10",4,22,24,="60+20",="46+17"
"云巨人",349,30,2,0,0,0,标准,9,-4,-4,-3,6,2,118,="19+12",="20+9",="32+12",-2,13,7,="95+30",="16+6"
"乌鲁克人乌格鲁克",350,20,0,0,0,0,标准,6,-3,-2,0,3,0,107,="23+12",="23+9",="34+12",-1,15,10,="80+30",="19+6"
"蓝龙蝠",351,21,20,26,0,0,蝙蝠,0,0,-3,3,-1,-4,55,="27+12",="27+10",="34+10",8,37,33,="30+12",="69+28"
"卷轴拟似怪",352,21,0,0,0,0,标准,0,0,0,0,0,0,0,="0+0",="0+0",="0+0",0,0,0,="0+0",="0+0"
"宝箱拟似怪",353,21,0,0,0,0,标准,0,0,0,0,0,0,0,="0+0",="0+0",="0+0",0,0,0,="0+0",="0+0"
"火焰漩涡",354,21,0,30,0,0,漩涡3,0,-8,-8,-1,6,-2,114,="15+7",="15+8",="45+15",-2,11,7,="65+15",="30+15"
"水之漩涡",355,21,0,30,0,0,漩涡4,0,-8,-8,-1,6,-2,114,="15+7",="15+8",="45+15",-2,11,7,="65+15",="30+15"
"乌鲁克人卢格杜什",356,21,0,0,0,0,标准,6,-3,-2,0,3,0,107,="23+12",="23+9",="34+12",-1,15,10,="80+30",="19+6"
"高阶恶灵",357,21,15,0,0,0,标准,2,0,-2,1,3,0,107,="17+7",="26+11",="33+10",2,13,22,="70+20",="37+17"
"寒冰漩涡",358,21,0,30,0,0,漩涡3,0,-8,-8,-1,6,-2,114,="15+7",="15+8",="45+15",-2,11,7,="65+15",="30+15"
"能量漩涡",359,21,0,30,0,0,漩涡4,0,-8,-8,-1,6,-2,114,="15+7",="15+8",="45+15",-2,11,7,="65+15",="30+15"
"河豚",360,21,0,30,0,0,鱼,4,-2,-2,2,2,1,115,="25+12",="18+7",="31+10",1,14,12,="70+30",="55+30"
"腐尸鸟",361,15,5,50,0,0,鸟,3,-8,-8,2,4,-4,124,="20+12",="13+7",="36+10",0,13,7,="85+30",="55+30"
"木乃伊兽人",362,21,0,0,0,0,标准,6,-8,-8,3,6,-2,124,="20+12",="13+7",="36+10",0,13,7,="85+30",="55+30"
"虎鲸",363,22,5,55,0,0,鱼,7,-4,-3,3,4,3,118,="23+12",="11+7",="33+10",0,15,9,="82+30",="61+30"
"蛇人",364,22,5,0,0,0,标准,1,1,-1,3,0,1,90,="45+15",="37+12",="36+10",5,32,34,="60+21",="60+14"
"吸血雾气",365,22,0,0,0,0,吸血鬼,0,0,0,0,0,0,0,="0+0",="0+0",="0+0",0,0,0,="0+0",="0+0"
"致命锹甲",366,22,0,55,0,0,甲虫,4,-2,-2,2,2,1,115,="25+12",="18+7",="31+10",1,14,12,="70+30",="55+30"
"铁魔像",367,22,0,80,0,0,标准,9,-7,-7,-3,7,2,115,="20+12",="20+9",="41+12",-1,13,10,="90+30",="16+6"
"自动压路机",368,22,10,80,0,0,自动掷骰器,8,-7,-7,0,6,1,120,="20+12",="13+7",="37+10",0,13,10,="90+30",="55+30"
"巨型黄蝎",369,22,0,38,0,0,蝎子,2,-1,-1,5,4,2,105,="40+12",="26+7",="41+10",6,26,17,="60+30",="65+30"
"翡翠武僧",370,30,10,0,0,0,武僧,2,1,3,5,5,1,102,="49+15",="33+10",="39+10",7,35,37,="79+18",="67+18"
"黑泥",371,23,-20,6,0,0,果冻3,-4,0,-3,0,-4,-7,86,="17+5",="21+6",="34+9",4,17,17,="41+12",="16+10"
"百战勇士",372,23,0,0,0,0,标准,5,0,0,4,5,1,115,="29+12",="21+7",="34+10",3,17,15,="85+30",="62+30"
"强兽人之王阿索格",373,28,10,0,0,0,标准,7,-3,-2,1,4,1,107,="23+12",="23+9",="34+12",-1,15,10,="80+30",="19+6"
